LIMIT_BAL,AGE,default,PAY_1_ontime,PAY_1_sensemov,PAY_1_revolving,PAY_1_mesos_retard,PAY_2_ontime,PAY_2_sensemov,PAY_2_revolving,PAY_2_mesos_retard,PAY_3_ontime,PAY_3_sensemov,PAY_3_revolving,PAY_3_mesos_retard,PAY_4_ontime,PAY_4_sensemov,PAY_4_revolving,PAY_4_mesos_retard,PAY_5_ontime,PAY_5_sensemov,PAY_5_revolving,PAY_5_mesos_retard,PAY_6_ontime,PAY_6_sensemov,PAY_6_revolving,PAY_6_mesos_retard,BILL_AMT_AGRUPAT,PAY_AMT_AGRUPAT,SEX_male,EDUCATION_postgrau,EDUCATION_secundaria,EDUCATION_universitari,MARRIAGE_casat,MARRIAGE_solter,MARRIAGE_nan
20000,24,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1284.0,114.83333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0
120000,26,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2846.1666666666665,833.3333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0
90000,34,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16942.166666666668,1836.3333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50000,37,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,38555.666666666664,1398.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50000,57,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,18223.166666666668,9841.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0
50000,37,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,39685.666666666664,1295.3333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
500000,29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,454099.1666666667,30126.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
100000,23,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2247.6666666666665,798.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
140000,28,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,10868.666666666666,1126.8333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20000,35,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4486.5,2354.8333333333335,1.0,0.0,1.0,0.0,0.0,1.0,0.0
